,Building condition,Living area,Kitchen type,Bedrooms,Bathrooms,Price,Type of Property,Subtype of Property,Type of Sale,Neighbourhood or locality,Number of frontages,Furnished,Surface of the plot,Garden surface,Swimming pool,Terrace
346,Good,95,Installed,2,1,"€ 330,000  330000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
347,Good,245,Installed,4,2,"€ 519,000  519000 €",house,villa,for sale,None,4,None,591,None,0.0,None
350,To renovate,90,None,3,1,"€ 139,500  139500 €",house,house,for sale,None,2,0.0,66,30,0.0,None
352,Good,50,None,1,1,"€ 240,000  240000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
353,Good,156,None,4,1,"€ 350,000  350000 €",house,house,for sale,Huy,4,None,2729,2619,None,1.0
354,Good,93,Not installed,3,1,"€ 175,000  175000 €",apartment,apartment,for sale,Bruxelles (19 communes),None,0.0,None,None,0.0,None
355,As new,151,None,4,1,"€ 585,000  585000 €",house,villa,for sale,None,4,None,1177,1081,None,None
356,As new,170,USA hyper equipped,4,3,"€ 1,830,000  1830000 €",apartment,duplex,for sale,Knokke-Heist,2,0.0,None,None,0.0,1.0
358,Good,230,Hyper equipped,5,None,"€ 470,000  470000 €",house,house,for sale,None,None,0.0,237,None,1.0,1.0
360,To be done up,197,None,4,1,"€ 380,000  380000 €",house,house,for sale,None,4,0.0,6806,None,0.0,1.0
361,To be done up,171,Semi equipped,3,1,"€ 395,000  395000 €",house,house,for sale,None,4,None,1427,None,None,None
362,To renovate,300,Installed,4,1,"€ 745,000  745000 €",house,villa,for sale,None,None,0.0,2920,None,0.0,1.0
363,Good,190,None,5,2,"€ 375,000  375000 €",house,house,for sale,None,2,0.0,361,None,0.0,1.0
364,Good,379,Installed,3,3,"€ 695,000  695000 €",house,mixed use building,for sale,Bruxelles,2,0.0,255,None,0.0,None
365,As new,102,USA hyper equipped,2,2,"€ 565,000  565000 €",apartment,penthouse,for sale,None,2,1.0,None,None,0.0,None
366,None,585,None,3,3,"€ 1,550,000  1550000 €",house,mansion,for sale,None,2,0.0,590,None,0.0,None
367,Good,180,Installed,4,None,"€ 335,000  335000 €",house,house,for sale,None,2,0.0,500,None,None,1.0
368,Just renovated,70,USA hyper equipped,2,1,"€ 340,000  340000 €",apartment,penthouse,for sale,Quartier Européen,2,1.0,None,None,0.0,None
369,As new,363,Installed,7,3,"€ 1,100,000  1100000 €",house,house,for sale,None,4,None,None,290,None,None
371,Good,400,Installed,8,None,"€ 595,000  595000 €",house,house,for sale,None,None,0.0,1032,700,None,None
372,To be done up,287,Semi equipped,3,1,"€ 290,000  290000 €",house,house,for sale,None,3,None,992,None,None,1.0
373,As new,113,USA hyper equipped,2,2,"€ 645,000  645000 €",apartment,apartment,for sale,Bruxelles Sud,None,0.0,None,None,0.0,None
374,As new,355,Installed,4,2,"€ 1,895,000  1895000 €",house,house,for sale,None,4,0.0,8560,None,0.0,1.0
375,To renovate,115,Not installed,3,1,"Make an offer starting from  € 150,000  Make an offer starting from  150000 €",house,house,for sale,None,2,0.0,149,60,None,None
377,To renovate,80,None,3,1,"€ 250,000  250000 €",house,house,for sale,None,2,0.0,265,None,None,None
378,As new,220,Installed,5,2,"Make an offer starting from  € 279,000  Make an offer starting from  279000 €",house,house,for sale,None,2,None,361,None,None,None
382,As new,80,Installed,2,1,"€ 250,000  250000 €",apartment,apartment,for sale,Est de Bruxelles + VL,2,0.0,None,None,0.0,None
387,To renovate,120,Not installed,3,1,"€ 160,000  160000 €",house,house,for sale,None,4,None,3609,None,None,1.0
389,Good,215,Hyper equipped,4,2,"€ 429,000  429000 €",house,house,for sale,Lebbeke,3,0.0,874,None,None,1.0
390,Good,140,Semi equipped,3,2,"€ 195,000  195000 €",house,apartment block,for sale,None,2,0.0,62,None,0.0,None
391,None,200,None,4,2,"€ 500,000  500000 €",house,house,for sale,Antwerpen centrum,2,None,67,25,None,None
392,Good,165,USA hyper equipped,3,1,"Make an offer starting from  € 300,000  Make an offer starting from  300000 €",house,house,for sale,Brugge Centrum,3,0.0,220,136,0.0,None
393,To be done up,197,Semi equipped,2,None,"€ 139,000  139000 €",house,house,for sale,None,None,0.0,94,None,None,1.0
394,Good,1687,None,10,None,"€ 6,500,000  6500000 €",house,house,for sale,None,2,0.0,None,880,0.0,1.0
395,As new,104,USA hyper equipped,2,2,"€ 895,000  895000 €",apartment,ground floor,for sale,Knokke-Heist,3,0.0,None,None,0.0,1.0
396,To be done up,226,Semi equipped,5,3,"€ 239,000  239000 €",house,house,for sale,VERVIERS,2,None,250,163,None,None
397,Good,182,Semi equipped,3,1,"€ 367,000  367000 €",house,house,for sale,None,4,None,1196,None,None,None
398,Good,90,None,2,1,"€ 225,000  225000 €",house,house,for sale,None,2,0.0,165,42,None,1.0
399,As new,202,Hyper equipped,3,1,"€ 469,000  469000 €",house,house,for sale,None,None,None,600,None,0.0,1.0
400,As new,90,USA hyper equipped,2,1,"€ 415,000  415000 €",apartment,apartment,for sale,None,4,0.0,None,None,0.0,None
401,Good,170,Installed,3,1,"Make an offer starting from  € 200,000  Make an offer starting from  200000 €",house,house,for sale,Brabant Wallon,2,None,485,485,None,1.0
403,Good,195,USA installed,3,1,"€ 299,000  299000 €",house,house,for sale,None,4,0.0,679,None,0.0,1.0
406,Good,224,None,4,1,"€ 415,000  415000 €",house,villa,for sale,None,1,1.0,1700,600,None,None
408,None,120,None,3,2,"Make an offer starting from  € 280,000  Make an offer starting from  280000 €",apartment,penthouse,for sale,None,3,0.0,None,None,0.0,1.0
409,As new,43,Hyper equipped,None,None,"€ 310,000  310000 €",apartment,flat studio,for sale,Projets Bruxelles Centre,2,1.0,None,None,0.0,None
410,Just renovated,203,Hyper equipped,5,2,"Make an offer starting from  € 625,000  Make an offer starting from  625000 €",house,house,for sale,BRAINE L'ALLEUD et environs,3,0.0,366,200,0.0,None
412,Good,180,Installed,3,2,"€ 440,000  440000 €",house,villa,for sale,None,4,None,1500,1350,1.0,1.0
413,Good,157,Hyper equipped,3,1,"€ 345,000  345000 €",house,house,for sale,Nord /Ouest Bruxelles,2,0.0,70,None,0.0,None
414,As new,69,Installed,1,1,"€ 139,000  139000 €",apartment,apartment,for sale,None,None,0.0,None,None,0.0,None
415,To renovate,297,Installed,4,1,"€ 795,000  795000 €",house,house,for sale,None,2,0.0,545,280,0.0,None
416,To be done up,238,None,7,1,"€ 310,000  310000 €",house,house,for sale,None,4,None,138,61,None,1.0
417,To renovate,289,Semi equipped,5,1,"€ 179,900  179900 €",house,house,for sale,None,2,None,170,None,None,None
418,Good,180,None,4,1,"€ 395,000  395000 €",house,house,for sale,None,4,0.0,9906,9906,None,None
420,Good,200,Installed,3,None,"€ 398,000  398000 €",house,house,for sale,None,None,0.0,230,60,None,None
421,As new,149,Installed,3,None,"€ 415,000  415000 €",house,house,for sale,None,3,0.0,444,None,None,1.0
423,Good,165,Installed,3,2,"€ 450,000  450000 €",house,house,for sale,Quartier Joli-Bois,2,0.0,311,None,None,1.0
425,As new,61,Hyper equipped,1,1,"€ 245,000  245000 €",apartment,apartment,for sale,Oost-Vlaanderen,2,0.0,None,None,0.0,None
429,To be done up,115,Semi equipped,3,1,"€ 225,000  225000 €",house,villa,for sale,None,4,None,362,None,None,None
430,To be done up,80,Installed,2,1,"€ 260,000  260000 €",apartment,ground floor,for sale,Bruxelles,3,0.0,None,140,None,None
432,Good,112,Installed,2,1,"€ 495,000  495000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
435,To renovate,243,None,1,1,"€ 199,000  199000 €",house,mixed use building,for sale,EUPEN - LONTZEN,2,0.0,201,107,None,None
436,As new,179,USA hyper equipped,3,1,"€ 1,340,000  1340000 €",apartment,penthouse,for sale,Projets Bruxelles Sud,4,0.0,None,None,0.0,None
437,As new,60,USA hyper equipped,1,1,"€ 481,000  481000 €",apartment,service flat,for sale,Het Zoute,None,None,None,None,0.0,None
438,Good,230,Hyper equipped,3,1,"€ 520,000  520000 €",house,house,for sale,None,3,None,670,None,None,None
439,To be done up,110,Installed,2,1,"€ 299,000  299000 €",house,house,for sale,None,4,None,1438,None,None,1.0
440,Good,76,Installed,2,1,"€ 174,000  174000 €",house,mixed use building,for sale,Nieuw Borgerhout,2,None,76,None,None,None
441,Good,175,None,3,1,"€ 449,000  449000 €",house,house,for sale,None,4,0.0,1019,None,0.0,1.0
443,To renovate,170,Semi equipped,3,1,"€ 269,000  269000 €",house,house,for sale,Oost- Vlaanderen,4,None,570,300,0.0,1.0
444,As new,220,None,3,1,"€ 499,000  499000 €",house,house,for sale,None,3,None,399,200,0.0,None
445,Just renovated,130,Installed,4,1,"€ 239,000  239000 €",house,house,for sale,None,3,None,257,None,None,None
447,Good,500,Not installed,6,1,"€ 850,000  850000 €",house,house,for sale,None,None,None,None,30,None,1.0
450,Good,75,Hyper equipped,2,1,"€ 275,000  275000 €",apartment,duplex,for sale,None,2,None,None,None,0.0,None
452,As new,35,Hyper equipped,1,None,"€ 159,000  159000 €",apartment,apartment,for sale,None,None,0.0,None,None,0.0,1.0
454,Good,64,None,3,1,"€ 240,000  240000 €",house,house,for sale,None,4,1.0,882,818,None,None
455,To renovate,254,None,5,1,"€ 1,490,000  1490000 €",house,house,for sale,None,4,None,1510,1450,None,None
456,As new,81,USA installed,2,1,"€ 199,000  199000 €",apartment,apartment,for sale,None,3,0.0,None,None,0.0,None
458,Good,192,Installed,4,None,"€ 385,000  385000 €",house,house,for sale,None,None,0.0,550,None,None,1.0
460,To be done up,250,Semi equipped,3,2,"€ 190,000  190000 €",house,house,for sale,Calme,3,None,271,None,None,None
461,Good,81,Installed,2,1,"€ 179,000  179000 €",house,house,for sale,Liège,2,0.0,480,190,0.0,None
462,Good,253,Installed,4,1,"€ 310,000  310000 €",house,house,for sale,None,4,None,None,1500,0.0,None
463,Good,114,Installed,2,1,"€ 263,000  263000 €",house,house,for sale,None,None,None,170,95,None,None
464,As new,287,Hyper equipped,4,2,"€ 350,000  350000 €",house,house,for sale,None,3,0.0,395,130,0.0,None
467,To renovate,350,Installed,5,1,"€ 450,000  450000 €",house,house,for sale,None,2,0.0,131,40,None,None
468,Good,191,None,2,1,"€ 349,000  349000 €",house,house,for sale,None,3,0.0,231,None,None,None
469,Good,349,None,5,2,"€ 1,050,000  1050000 €",house,house,for sale,None,4,None,3653,None,1.0,1.0
470,As new,162,Installed,3,2,"€ 545,000  545000 €",apartment,apartment,for sale,None,None,0.0,None,None,None,1.0
471,As new,173,Installed,3,1,"€ 445,000  445000 €",house,town house,for sale,None,2,0.0,149,60,0.0,None
472,As new,121,Hyper equipped,2,2,"€ 2,350,000  2350000 €",apartment,apartment,for sale,None,2,None,None,None,0.0,1.0
474,To renovate,132,Not installed,4,1,"Make an offer starting from  € 109,000  Make an offer starting from  109000 €",house,house,for sale,None,3,None,440,None,None,None
476,As new,208,USA hyper equipped,4,2,"€ 670,000  670000 €",house,house,for sale,None,3,0.0,672,400,None,None
478,Good,244,Installed,3,1,"€ 330,000  330000 €",house,house,for sale,None,2,None,185,100,0.0,None
479,Good,68,Not installed,2,1,"Make an offer starting from  € 69,000  Make an offer starting from  69000 €",apartment,apartment,for sale,Liège environs,3,0.0,None,None,None,None
480,Good,486,Installed,5,2,"€ 995,000  995000 €",house,mansion,for sale,None,None,None,2150,None,None,1.0
481,Good,330,Installed,5,2,"€ 579,000  579000 €",house,villa,for sale,None,4,None,1250,760,1.0,None
485,To be done up,211,Hyper equipped,4,1,"€ 340,000  340000 €",house,villa,for sale,None,4,0.0,1100,400,None,None
486,As new,172,Hyper equipped,3,None,"€ 309,000  309000 €",house,house,for sale,None,2,0.0,213,None,0.0,1.0
488,As new,102,Hyper equipped,3,2,"€ 635,000  635000 €",apartment,apartment,for sale,None,3,None,None,None,None,1.0
490,To be done up,None,Installed,4,1,"€ 447,000  447000 €",house,house,for sale,None,4,None,758,422,None,None
491,Just renovated,147,Installed,3,1,"€ 385,000  385000 €",house,house,for sale,None,2,None,70,None,0.0,None
492,To renovate,149,Installed,4,1,"€ 269,900  269900 €",house,house,for sale,None,2,0.0,104,None,None,None
493,As new,153,None,2,1,"€ 487,000  487000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
494,As new,156,USA hyper equipped,2,1,"€ 405,000  405000 €",apartment,loft,for sale,None,None,0.0,None,None,None,1.0
495,As new,128,Installed,3,1,"€ 495,000  495000 €",apartment,apartment,for sale,None,None,0.0,None,None,0.0,1.0
497,Good,124,Installed,4,1,"€ 225,000  225000 €",house,house,for sale,None,2,0.0,103,None,None,None
498,Good,113,Semi equipped,2,1,"€ 248,000  248000 €",house,house,for sale,None,3,None,489,None,None,1.0
499,As new,145,Hyper equipped,3,1,"€ 299,000  299000 €",house,house,for sale,None,2,0.0,250,115,0.0,None
500,To renovate,255,Installed,4,1,"€ 495,000  495000 €",house,villa,for sale,None,None,0.0,814,285,0.0,None
501,As new,326,Hyper equipped,4,3,"€ 950,000  950000 €",house,house,for sale,Haut de Saint-Gilles,2,None,90,None,None,None
504,Good,115,Installed,2,1,"Make an offer starting from  € 249,000  Make an offer starting from  249000 €",house,house,for sale,None,3,None,246,None,None,None
505,Good,177,Hyper equipped,3,1,"€ 520,000  520000 €",house,villa,for sale,None,4,None,508,None,None,None
508,To renovate,156,USA semi equipped,3,1,"€ 299,000  299000 €",house,house,for sale,Eghezée,2,0.0,528,383,0.0,1.0
510,As new,445,Hyper equipped,4,1,"€ 825,000  825000 €",house,villa,for sale,None,4,0.0,2442,2202,None,None
511,None,470,Installed,4,2,"€ 1,395,000  1395000 €",house,villa,for sale,None,None,None,2017,None,None,1.0
512,Good,88,Hyper equipped,1,1,"€ 270,000  270000 €",apartment,apartment,for sale,None,2,None,None,None,0.0,None
513,As new,97,Installed,2,1,"€ 209,000  209000 €",apartment,apartment,for sale,None,None,0.0,None,None,0.0,None
514,Just renovated,114,Hyper equipped,2,1,"€ 630,000  630000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,1.0
515,To be done up,474,USA semi equipped,6,5,"€ 1,145,000  1145000 €",house,mixed use building,for sale,None,3,None,246,None,None,None
516,As new,225,None,3,3,"€ 825,000  825000 €",apartment,triplex,for sale,1 - Bruxelles Est,2,0.0,None,17,0.0,None
520,Good,85,Hyper equipped,2,1,"€ 199,500  199500 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
521,Good,45,Semi equipped,1,1,"€ 159,000  159000 €",apartment,ground floor,for sale,None,2,0.0,None,None,0.0,None
522,Good,165,None,3,1,"€ 348,000  348000 €",house,house,for sale,None,3,0.0,165,None,None,1.0
523,Good,237,Installed,4,None,"€ 875,000  875000 €",house,villa,for sale,None,None,0.0,2064,None,None,1.0
524,As new,200,Hyper equipped,3,1,"€ 549,000  549000 €",house,exceptional property,for sale,None,3,0.0,1735,1500,None,None
526,None,355,Installed,5,5,"€ 695,000  695000 €",house,house,for sale,None,None,None,2030,1898,None,None
528,As new,532,Hyper equipped,5,5,"€ 3,800,000  3800000 €",house,villa,for sale,None,4,0.0,2500,None,1.0,None
529,As new,102,Installed,3,2,"€ 225,000  225000 €",apartment,apartment,for sale,None,2,0.0,None,None,None,None
531,As new,780,Installed,7,6,"€ 2,950,000  2950000 €",house,villa,for sale,None,4,0.0,5300,None,0.0,None
532,To renovate,130,Semi equipped,4,2,"€ 185,000  185000 €",house,house,for sale,None,2,None,60,None,None,None
536,To renovate,112,Not installed,3,1,"€ 175,000  175000 €",house,house,for sale,Jodoigne,2,0.0,610,542,0.0,None
538,To be done up,85,Installed,2,1,"€ 249,000  249000 €",apartment,apartment,for sale,None,None,0.0,None,None,0.0,None
540,As new,120,Semi equipped,2,1,"€ 229,000  229000 €",house,house,for sale,None,3,0.0,240,300,None,None
541,None,235,None,3,1,"€ 425,000  425000 €",house,house,for sale,None,3,0.0,550,None,None,1.0
542,As new,86,Not installed,2,2,"€ 216,500  216500 €",apartment,apartment,for sale,Zone Centre Province du Luxembourg,None,0.0,None,None,None,None
543,As new,82,Hyper equipped,2,1,"€ 370,000  370000 €",apartment,penthouse,for sale,Gent en omstreken,2,0.0,None,None,0.0,None
544,As new,103,Hyper equipped,3,None,"€ 169,000  169000 €",house,house,for sale,None,2,0.0,159,None,None,None
545,Good,120,Installed,3,1,"€ 175,000  175000 €",house,house,for sale,Verviers,3,0.0,55,None,0.0,None
546,As new,147,USA hyper equipped,2,2,"€ 825,000  825000 €",apartment,apartment,for sale,None,2,None,None,None,0.0,None
547,Good,139,None,3,1,"€ 235,000  235000 €",apartment,duplex,for sale,None,3,0.0,None,None,0.0,None
548,Good,None,None,3,1,"€ 330,000  330000 €",house,house,for sale,None,4,None,950,300,0.0,None
550,Good,550,Installed,8,7,"€ 1,895,000  1895000 €",house,other property,for sale,None,4,None,5432,None,None,1.0
551,Good,70,USA hyper equipped,2,1,"€ 230,000  230000 €",house,bungalow,for sale,None,4,0.0,649,425,0.0,None
552,To be done up,92,Installed,2,1,"€ 149,500  149500 €",house,house,for sale,None,3,0.0,245,125,0.0,None
553,Just renovated,265,Installed,4,1,"€ 250,000  250000 €",house,house,for sale,None,2,None,425,None,None,None
554,As new,99,Installed,2,1,"€ 398,000  398000 €",apartment,apartment,for sale,None,None,0.0,None,None,0.0,1.0
556,To be done up,140,Semi equipped,3,1,"€ 369,000  369000 €",house,house,for sale,None,4,None,2191,None,None,1.0
